"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"20,3";"";"";"74,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0100";"19,2";"";"";"77,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0200";"18,8";"";"";"78,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"0400";"17,8";"";"";"82,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"0600";"17,6";"";"";"84,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0700";"17,7";"";"";"84,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0800";"17,6";"";"";"84,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"1000";"18,4";"";"";"81,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1100";"20,4";"";"";"69,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1200";"22,7";"";"";"63,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1300";"24,6";"";"";"59,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1400";"27,0";"";"";"50,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1500";"27,2";"";"";"46,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1600";"28,5";"";"";"40,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1700";"28,6";"";"";"41,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1800";"29,2";"";"";"42,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1900";"29,6";"";"";"41,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2000";"27,8";"";"";"51,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2100";"25,4";"";"";"55,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2200";"23,7";"";"";"61,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2300";"22,9";"";"";"65,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0000";"21,6";"";"";"65,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0100";"20,5";"";"";"73,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0200";"19,4";"";"";"78,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"0400";"18,2";"";"";"82,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0500";"17,8";"";"";"81,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0600";"18,4";"";"";"77,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0700";"18,2";"";"";"79,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0800";"18,2";"";"";"80,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0900";"18,4";"";"";"80,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1000";"19,1";"";"";"78,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1100";"20,9";"";"";"71,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1200";"22,8";"";"";"65,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1300";"25,2";"";"";"53,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1400";"26,9";"";"";"51,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"1600";"28,2";"";"";"42,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1700";"28,7";"";"";"37,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1800";"29,2";"";"";"34,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1900";"29,0";"";"";"42,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"2000";"26,4";"";"";"55,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"2100";"23,4";"";"";"64,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
