"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"21,6";"21,8";"21,6";"83,4";"84,3";"83,1";"";"";"";"916,1";"916,8";"915,7";"2,8";"67,0";"1,6";"";"0,0"
"01/01/2025";"0100";"21,6";"21,6";"21,6";"82,9";"83,4";"82,8";"";"";"";"916,2";"916,5";"916,2";"0,1";"90,0";"1,5";"";"0,0"
"01/01/2025";"0200";"21,2";"21,6";"21,2";"86,6";"86,6";"83,7";"";"";"";"915,7";"916,2";"915,7";"0,0";"315,0";"1,1";"";"0,0"
"01/01/2025";"0300";"21,2";"21,2";"21,1";"87,4";"87,6";"86,9";"";"";"";"916,2";"916,2";"915,5";"1,1";"45,0";"1,1";"";"0,0"
"01/01/2025";"0400";"20,8";"21,1";"";"87,0";"87,5";"";"";"";"";"915,7";"916,2";"";"1,5";"45,0";"1,6";"";"0,0"
"01/01/2025";"0500";"20,7";"20,9";"20,7";"87,8";"87,8";"87,0";"";"";"";"915,2";"915,7";"915,2";"0,1";"67,0";"1,5";"";"0,0"
"01/01/2025";"0600";"20,3";"20,7";"20,3";"89,2";"89,2";"87,8";"";"";"";"914,1";"915,3";"914,1";"0,0";"292,0";"1,6";"";"0,0"
"01/01/2025";"0700";"20,1";"20,3";"20,0";"90,0";"90,0";"89,3";"";"";"";"914,5";"914,7";"914,0";"0,0";"315,0";"2,6";"";"0,0"
"01/01/2025";"0800";"19,9";"20,0";"19,8";"90,5";"90,5";"90,1";"";"";"";"915,2";"915,2";"914,5";"0,0";"225,0";"1,3";"";"0,0"
"01/01/2025";"0900";"19,9";"19,9";"19,9";"90,5";"90,5";"90,3";"";"";"";"916,2";"916,2";"915,3";"0,0";"315,0";"0,1";"";"0,0"
"01/01/2025";"1000";"20,8";"20,8";"20,0";"88,8";"90,6";"88,8";"";"";"";"915,7";"916,2";"915,4";"0,0";"315,0";"1,5";"";"0,0"
"01/01/2025";"1100";"22,1";"22,1";"20,8";"82,0";"88,8";"82,0";"";"";"";"916,0";"916,8";"915,7";"3,0";"225,0";"1,8";"";"6,8"
"01/01/2025";"1200";"24,9";"24,9";"22,1";"71,2";"82,0";"71,2";"";"";"";"918,0";"918,0";"915,9";"1,1";"270,0";"2,0";"";"0,0"
"01/01/2025";"1300";"26,3";"26,3";"24,9";"60,1";"69,7";"59,0";"";"";"";"918,5";"918,5";"917,5";"3,5";"337,0";"1,6";"";"0,0"
"01/01/2025";"1400";"27,7";"27,8";"26,3";"56,1";"60,5";"56,1";"";"";"";"918,2";"918,7";"918,0";"1,6";"315,0";"2,6";"";"0,0"
"01/01/2025";"1500";"28,0";"28,8";"27,7";"54,4";"56,1";"52,3";"";"";"";"918,0";"918,6";"918,0";"0,0";"337,0";"1,6";"";"0,0"
"01/01/2025";"1600";"28,2";"29,3";"28,2";"53,3";"53,3";"51,6";"";"";"";"918,1";"918,1";"917,3";"2,2";"270,0";"2,2";"";"0,0"
"01/01/2025";"1700";"30,1";"30,1";"28,7";"45,7";"52,5";"45,7";"";"";"";"916,2";"917,2";"916,2";"1,1";"315,0";"2,4";"";"0,0"
"01/01/2025";"1800";"24,7";"30,0";"24,7";"73,2";"73,2";"46,4";"";"";"";"915,6";"916,3";"915,2";"3,5";"22,0";"0,7";"";"0,0"
"01/01/2025";"1900";"23,2";"24,5";"23,2";"77,2";"77,2";"72,8";"";"";"";"915,6";"916,2";"915,5";"0,7";"67,0";"2,0";"";"0,0"
"01/01/2025";"2000";"22,9";"23,2";"22,9";"78,4";"78,5";"77,8";"";"";"";"915,1";"915,4";"915,1";"2,0";"67,0";"2,4";"";"0,0"
"01/01/2025";"2100";"22,9";"23,1";"22,9";"81,5";"81,5";"78,9";"";"";"";"915,2";"915,2";"913,7";"1,6";"45,0";"2,6";"";"0,0"
"01/01/2025";"2200";"22,7";"22,9";"22,7";"80,7";"81,8";"80,4";"";"";"";"915,6";"915,6";"914,4";"3,0";"67,0";"2,6";"";"0,0"
"01/01/2025";"2300";"22,6";"22,7";"22,6";"83,1";"83,1";"80,8";"";"";"";"916,1";"916,2";"914,9";"1,5";"67,0";"1,5";"";"0,0"
"02/01/2025";"0000";"22,6";"22,8";"22,6";"83,6";"83,6";"83,0";"";"";"";"916,5";"916,6";"916,2";"0,7";"67,0";"2,0";"";"0,0"
"02/01/2025";"0100";"22,4";"22,7";"22,4";"84,3";"84,3";"83,5";"";"";"";"916,8";"916,8";"916,1";"1,1";"67,0";"1,1";"";"0,0"
"02/01/2025";"0200";"22,1";"22,4";"22,1";"86,0";"86,0";"84,6";"";"";"";"917,0";"917,2";"916,9";"1,6";"22,0";"1,6";"";"0,0"
"02/01/2025";"0300";"22,0";"22,1";"22,0";"87,2";"87,2";"86,4";"";"";"";"916,5";"916,8";"916,5";"0,5";"45,0";"0,7";"";"0,0"
"02/01/2025";"0400";"21,7";"21,9";"";"88,0";"88,0";"";"";"";"";"915,4";"916,1";"";"0,0";"270,0";"1,3";"";"0,0"
"02/01/2025";"0500";"21,1";"21,6";"21,1";"89,1";"89,1";"88,1";"";"";"";"915,3";"915,5";"915,3";"0,1";"292,0";"0,9";"";"0,0"
"02/01/2025";"0600";"20,7";"21,0";"20,7";"87,6";"89,2";"87,6";"";"";"";"914,2";"915,2";"914,2";"1,3";"315,0";"1,3";"";"0,0"
